time_us,sda,scl,note
3337.50,0,0,
3342.50,0,0,
3342.50,0,1,
3347.50,0,0,
3352.50,1,0,
3352.50,1,1,
3357.50,1,0,
3360.00,1,0,
3365.00,0,0,
3365.00,0,1,
3375.00,1,1,
3380.00,1,1,
3385.00,0,1,
3385.00,0,0,
3387.50,1,0,
3387.50,1,1,
3392.50,1,0,
3397.50,0,0,
3397.50,0,1,
3402.50,0,0,
3407.50,1,0,
3407.50,1,1,
3412.50,1,0,
3417.50,0,0,
3417.50,0,1,
3422.50,0,0,
3427.50,0,0,
3427.50,0,1,
3432.50,0,0,
3437.50,0,0,
3437.50,0,1,
3442.50,0,0,
3447.50,0,0,
3447.50,0,1,
3452.50,0,0,
3457.50,0,0,
3457.50,0,1,
3462.50,0,0,
3467.50,1,0,
3467.50,1,1,
3472.50,1,0,
3475.00,1,0,
3480.00,0,0,
3480.00,0,1,
3490.00,1,1,
3495.00,1,1,
3500.00,0,1,
3500.00,0,0,
3502.50,1,0,
3502.50,1,1,
3507.50,1,0,
3512.50,0,0,
3512.50,0,1,
3517.50,0,0,
3522.50,1,0,
3522.50,1,1,
3527.50,1,0,
3532.50,0,0,
3532.50,0,1,
3537.50,0,0,
3542.50,0,0,
3542.50,0,1,
3547.50,0,0,
3552.50,0,0,
3552.50,0,1,
3557.50,0,0,
3562.50,0,0,
3562.50,0,1,
3567.50,0,0,
3572.50,0,0,
3572.50,0,1,
3577.50,0,0,
3582.50,1,0,
3582.50,1,1,
3587.50,1,0,
3590.00,1,0,
3595.00,0,0,
3595.00,0,1,
3605.00,1,1,
3610.00,1,1,
3615.00,0,1,
3615.00,0,0,
3617.50,1,0,
3617.50,1,1,
3622.50,1,0,
3627.50,0,0,
3627.50,0,1,
3632.50,0,0,
3637.50,1,0,
3637.50,1,1,
3642.50,1,0,
3647.50,0,0,
3647.50,0,1,
3652.50,0,0,
3657.50,0,0,
3657.50,0,1,
3662.50,0,0,
3667.50,0,0,
3667.50,0,1,
3672.50,0,0,
3677.50,0,0,
